,Time,LeftDuration,RightDuration,TotalDuration,Resource,longestTimeBtwnFeeds,# of Night Feeds,# of Night Wakes,EndTime,DateOnly,DateString,Time_SameDate,EndTime_SameDate,Daydifference,Time_SameDate2,EndTime_SameDate2,AgeInWeeks
88,2017-08-07 03:42:00,,,15.0,Wet,,,,2017-08-07 03:57:00,2017-08-07,2017-08-07,2019-01-01 03:42:00,2019-01-01 03:57:00,5 days,2017-08-02 03:42:00,2017-08-02 03:57:00,0.0
89,2017-08-07 03:49:00,26.0,12.0,38.0,Nursing,,,,2017-08-07 04:27:00,2017-08-07,2017-08-07,2019-01-01 03:49:00,2019-01-01 04:27:00,5 days,2017-08-02 03:49:00,2017-08-02 04:27:00,0.0
90,2017-08-07 05:36:00,,,15.0,Wet,,,,2017-08-07 05:51:00,2017-08-07,2017-08-07,2019-01-01 05:36:00,2019-01-01 05:51:00,5 days,2017-08-02 05:36:00,2017-08-02 05:51:00,0.0
91,2017-08-07 05:37:00,12.0,25.0,37.0,Nursing,,,,2017-08-07 06:14:00,2017-08-07,2017-08-07,2019-01-01 05:37:00,2019-01-01 06:14:00,5 days,2017-08-02 05:37:00,2017-08-02 06:14:00,0.0
92,2017-08-07 06:18:00,,,151.0,Sleep,,,,2017-08-07 08:49:00,2017-08-07,2017-08-07,2019-01-01 06:18:00,2019-01-01 08:49:00,5 days,2017-08-02 06:18:00,2017-08-02 08:49:00,0.0
93,2017-08-07 08:51:00,19.0,10.0,29.0,Nursing,,,,2017-08-07 09:20:00,2017-08-07,2017-08-07,2019-01-01 08:51:00,2019-01-01 09:20:00,5 days,2017-08-02 08:51:00,2017-08-02 09:20:00,0.0
94,2017-08-07 10:30:00,,,89.0,Sleep,,,,2017-08-07 11:59:00,2017-08-07,2017-08-07,2019-01-01 10:30:00,2019-01-01 11:59:00,5 days,2017-08-02 10:30:00,2017-08-02 11:59:00,0.0
95,2017-08-07 12:02:00,0.0,20.0,20.0,Nursing,,,,2017-08-07 12:22:00,2017-08-07,2017-08-07,2019-01-01 12:02:00,2019-01-01 12:22:00,5 days,2017-08-02 12:02:00,2017-08-02 12:22:00,0.0
96,2017-08-07 12:35:00,,,54.0,Sleep,,,,2017-08-07 13:29:00,2017-08-07,2017-08-07,2019-01-01 12:35:00,2019-01-01 13:29:00,5 days,2017-08-02 12:35:00,2017-08-02 13:29:00,0.0
97,2017-08-07 13:38:00,,,15.0,Wet,,,,2017-08-07 13:53:00,2017-08-07,2017-08-07,2019-01-01 13:38:00,2019-01-01 13:53:00,5 days,2017-08-02 13:38:00,2017-08-02 13:53:00,0.0
